"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.56215","19.20419","20.24258","19.38926","","17.7411","17.61527","","","","","","","25.09578","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2609","12.56712","8.53024","11.32094","12.03027","10.29234","11.98575","11.3072","","","","","","","",
"Africa Western and Central","AFW","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.36241","","","","","","","","","","","","","",
"Angola","AGO","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86682","","6.78368","9.82258","7.97805","","","","","","","",
"Andorra","AND","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07701","","6.70211","6.94716","9.91968","11.05105","","17.78799","13.31665","13.52729","","16.375","11.27472","14.38817","13.63639","13.56321","13.93424","","","","","","",
"Arab World","ARB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.14859","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.11422","16.60092","15.74535","16.89971","15.21159","12.85688","12.94152","16.11186","16.7607","17.83472","19.1992","22.23454","19.26875","20.64525","20.75691","21.62494","21.31954","22.87436","21.59171","20.6226","","","","","","","",
"Armenia","ARM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8701","14.57604","","","","","","","","","","",
"American Samoa","ASM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.34896","","9.80909","","","","","","","","","","","","","",
"Australia","AUS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.03172","","","","","","","","","","","","","","","","","16.08962","16.77557","16.54706","17.13625","14.98139","","","","","","","","",
"Austria","AUT","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.92871","29.29272","27.16046","27.05851","27.00313","27.87828","26.59278","25.39476","25.70922","25.40733","26.29943","29.28391","28.43686","29.42218","26.71204","27.58908","27.05619","27.293","27.72044","","","","","","","","",
"Azerbaijan","AZE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.30693","52.60466","","51.66644","51.76177","","","","44.65009","48.60981","40.64224","32.87148","31.24881","","","","","","","","","","","",
"Belgium","BEL","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.52636","","","","","","","","","","","",
"Benin","BEN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.23022","22.36552","18.23596","20.13692","22.61676","","","","","","","","","13.80213","13.01251","11.34655","","","","","","","","","",
"Burkina Faso","BFA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.79333","22.28991","29.17324","","","20.56827","22.74974","18.18041","15.59634","16.09687","17.26223","19.92959","","","","","","","","",
"Bangladesh","BGD","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.99201","9.29947","","10.41505","11.27777","12.24151","","12.55229","12.11735","11.56194","10.31646","12.56133","11.21871","10.41856","","","","9.88363","","","","","","","","",
"Bulgaria","BGR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.03489","","","18.35665","18.06848","19.76148","10.2099","21.24879","20.16032","19.53311","22.67286","23.35568","23.08243","20.71572","19.05691","22.18229","","","","","","","","","","","",
"Bahrain","BHR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.90834","15.75927","17.50832","","","","","","","","","",
"Bahamas, The","BHS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.51293","","","","","","","","",
"Belarus","BLR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.66614","","","","","","","",
"Belize","BLZ","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.97739","16.35608","","","","19.22426","20.50685","20.68365","","22.04897","23.54643","26.17363","","23.12188","21.93179","23.80357","26.00505","26.1109","27.31837","","","","","","","",
"Bermuda","BMU","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.34193","14.02632","","","","","17.8416","","","","12.55218","11.92934","","","","","","","","","",
"Bolivia","BOL","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.14512","","11.44409","13.00607","","17.62629","19.06857","20.00857","20.97786","21.8504","19.66737","20.57305","20.56801","21.52655","","","","","","","","","",
"Barbados","BRB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.42909","21.1396","25.34136","25.48251","27.972","24.69735","22.6382","","23.00835","19.81998","20.81281","25.78739","","","","19.32011","","28.03908","","","","","","","","",
"Brunei Darussalam","BRN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6387","","","","10.13979","","23.64457","","","","","","","","",
"Bhutan","BTN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.27318","33.41283","26.01151","30.14214","","32.38232","33.94304","29.42942","","","","","","","","","",
"Botswana","BWA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.55359","","40.62813","","35.86587","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.42199","","","","","","","","","","","","","","","",
"Canada","CAN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.32883","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.415275","","","19.46928","20.524955","20.53181","21.12918","21.074695","19.82809","20.1969","22.40992","23.35568","23.1741","22.015035","20.722375","22.533805","23.07045","22.25324","22.30415","","","","","","","","",
"Switzerland","CHE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.04068","25.29324","24.66126","25.29121","26.88653","26.6065","25.46407","25.36203","23.84324","22.80694","28.20173","26.9248","26.2857","25.89147","25.97821","26.41812","26.39044","24.45516","","","","","","","","","",
"Channel Islands","CHI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.36893","","14.26927","","15.09564","15.48508","13.50403","12.63158","11.6756","12.64539","15.10256","16.47026","15.21726","15.16071","16.45029","15.01836","15.10182","16.63683","18.48666","18.68243","","","","","","","",
"China","CHN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.42726","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.35127","","","","","","","","","","","","","","","27.17591","24.16853","22.82275","20.80971","18.84725","","","","","","",
"Cameroon","CMR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.94488","36.37686","30.89324","24.11163","26.14003","","17.95408","17.7737","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.53216","","","5.28871","","","","","","","","","","","",
"Congo, Rep.","COG","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.50774","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.00068","16.04796","12.89406","","","","15.12669","14.4607","","9.91732","14.72197","14.98617","15.0084","14.43288","14.67586","16.23337","16.88747","15.68956","15.63588","17.26919","17.64699","","","","","","",
"Comoros","COM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.23286","","","","","","","","","","","7.28925","8.48165","","","","","","","","","","",
"Cabo Verde","CPV","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.66895","","","","19.25197","16.48019","15.67529","14.01267","","15.03213","","16.54934","16.34377","18.65404","19.87578","19.66117","","","","","","","",
"Costa Rica","CRI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.12021","20.3449","21.42331","23.41249","","16.99844","","16.19928","17.03938","17.85923","21.08531","23.13217","23.21991","24.28474","24.47234","23.93812","25.12593","24.03879","24.67935","21.14089","","","","","","",
"Caribbean small states","CSS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.13297","41.19862","40.58853","44.06536","","44.23533","47.773","42.70407","53.50966","53.62812","50.73605","51.85674","","","","","","","","","","","","","","",
"Curacao","CUW","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.93856","","","","","","","","","","","",
"Cayman Islands","CYM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.71134","23.93685","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.27326","27.34898","28.15135","31.00717","33.95926","31.40003","32.41409","32.20445","32.53328","34.58471","37.3322","36.8753","37.82297","","38.33015","37.24","39.39051","39.29112","","","","","","","","",
"Czechia","CZE","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.86689","20.09986","19.44741","19.2471","20.59708","21.30214","21.12918","20.9006","21.09548","20.1969","20.79512","23.27179","23.26577","23.84082","24.1497","23.74451","23.53828","23.6677","22.30415","","","","","","","","",
"Germany","DEU","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.10304","","","","","","","","20.29257","21.09132","21.07791","23.85787","23.88146","22.84118","23.04534","23.18698","23.19245","23.00137","22.95939","","","","","","","","",
"Djibouti","DJI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.06575","","","","","","","1.03886","0.72783","","","","","","","","",
"Dominica","DMA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.50769","14.92578","13.82207","15.21551","","","","","18.77678","","","","","","","","","",
"Denmark","DNK","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.16651","37.26457","37.21646","33.88395","34.84693","33.90776","34.44315","34.25592","33.52992","31.34546","30.44643","31.87939","32.50974","29.22918","27.67433","27.91977","31.13589","","","","","","","","","","",
"Dominican Republic","DOM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13181","4.59898","","3.7282","5.88323","6.76881","6.31194","6.51963","7.9353","13.70653","13.64495","14.26615","14.91552","18.7182","15.09618","","","","","","",
"Algeria","DZA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0622","17.36465","","17.8263","17.85554","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.34073","23.79821","","","22.93953","25.76982","28.30466","27.21625","25.89151","25.26151","23.462365","23.656035","23.00137","23.02147","","","","","","","","",
"Ecuador","ECU","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.32021","5.38598","","","","","","","","","4.38387","4.26581","4.5863","4.45934","5.08401","4.94326","5.07928","5.2853","","","","","","","","",
"Egypt, Arab Rep.","EGY","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.79696","","","","","","","",
"Euro area","EMU","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.27547","24.93597","23.045015","24.30857","24.62165","24.32286","24.89156","24.221935","24.58835","23.70022","26.29943","28.70418","28.074085","26.962405","25.94711","24.52636","24.436335","23.262015","23.031085","","","","","","","","",
"Eritrea","ERI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.28252","20.27257","","9.30658","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.87749","24.05752","22.833","22.10772","22.83037","23.18286","23.213","22.88599","23.46748","23.70022","25.37782","27.61234","26.05485","25.89151","21.01442","18.50276","18.22419","18.49989","18.88163","","","","","","","","",
"Estonia","EST","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.27547","27.3503","","25.1553","25.05491","26.16631","24.89156","23.04911","","22.93953","28.77094","32.12687","30.97741","26.74646","27.10011","23.20386","23.77379","22.25324","21.17125","","","","","","","","",
"Ethiopia","ETH","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.97527","22.79132","27.09463","25.76063","","","16.76439","","","","","","","","","",
"European Union","EUU","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.10304","24.8775","23.045015","24.074525","24.05205","23.75286","23.134615","22.88599","22.87955","22.90471","25.76982","28.141645","27.67082","25.89151","24.41199","23.73269","23.656035","23.00137","23.02147","","","","","","","","",
"Fragile and conflict affected situations","FCS","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.93597","23.22704","24.30857","25.32816","25.99888","31.06666","30.83827","30.50341","29.59148","30.83062","34.36908","34.8965","34.70223","25.94711","26.1282","26.07076","25.80386","24.75238","","","","","","","","",
"Fiji","FJI","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.11045","","","","","","","5.69328","","","","","","","","","","","","","",
"France","FRA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8291","28.40943","","","29.88208","29.29764","27.22036","27.19799","26.61552","27.04691","28.70418","28.38317","27.17835","26.82868","26.72217","26.78417","26.46082","26.28009","","","","","","","","",
"Faroe Islands","FRO","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.65895","21.09702","21.87505","21.94317","23.63757","25.01142","23.79821","23.47328","24.47537","25.57833","26.49489","28.43834","31.19587","29.46259","","22.60496","22.87626","23.05669","21.18688","","","","","","","","",
"Georgia","GEO","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6017","","","","","","","","","","","","","","","","",
"Ghana","GHA","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.59106","","","42.85671","38.42101","30.15745","27.285","26.73242","26.9648","","26.31798","39.08224","19.33164","19.96045","","","","","","","","","","",
"Gibraltar","GIB","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.05917","","","8.01316","6.82725","","8.24883","","","","","","","","","","",
